Micro-catégorie,Forêt,Bosquet,Pré,Champ,Verger,Jardin,None
"Portion de bâtiment de 0a.96c en totalité consistant en: l'appartement à l'Ouest au second étage composé d'une cuisine et deux chambres, avec le galetas au-dessus du dit appartement, les autres parts sont portées sous art. 2935, 3480, 1181, 2945, 2608, 2920",,,,,,,"Portion de bâtiment de 0a.96c en totalité consistant en: l'appartement à l'Ouest au second étage composé d'une cuisine et deux chambres, avec le galetas au-dessus du dit appartement, les autres parts sont portées sous art. 2935, 3480, 1181, 2945, 2608, 2920"
Hôtel d'Angleterre,,,,,,,Hôtel d'Angleterre
"1/2 indéterminée d'une place indivise de 0a.22 en totalité, l'autre part est portée sous art. 2911",,,,,,,"1/2 indéterminée d'une place indivise de 0a.22 en totalité, l'autre part est portée sous art. 2911"
"1/2 indéterminée d'une place indivise de 0a.12 en totalité, l'autre part est portée sous art. 1578",,,,,,,"1/2 indéterminée d'une place indivise de 0a.12 en totalité, l'autre part est portée sous art. 1578"
Voie ferrée (place)Voie ferrée (place)Voie ferrée (place),,,,,,,Voie ferrée (place)Voie ferrée (place)Voie ferrée (place)
Bois (bosquet),,,,,,,Bois (bosquet)
"Place, voie ferrée",,,,,,,"Place, voie ferrée"
Cour (place),,,,,,,Cour (place)
Grève,,,,,,,Grève
"Chambre à lessive, bûcher",,,,,,,"Chambre à lessive, bûcher"
Pressoir,,,,,,,Pressoir
"Etable à porcs, bûcher",,,,,,,"Etable à porcs, bûcher"
"Pré, talus",,,,,,,"Pré, talus"
"Remise, étable à porcs",,,,,,,"Remise, étable à porcs"
"Ecurie, remise",,,,,,,"Ecurie, remise"
"Ecurie, fenil",,,,,,,"Ecurie, fenil"
Couvert de puits,,,,,,,Couvert de puits
Volière,,,,,,,Volière
"Chambre à lessive, étendage",,,,,,,"Chambre à lessive, étendage"
Atelier de charpentier,,,,,,,Atelier de charpentier
"Maison d'habitation, hospice de l'enfance",,,,,,,"Maison d'habitation, hospice de l'enfance"
"Bûcher, chambre à lessive",,,,,,,"Bûcher, chambre à lessive"
Chambre à lessive et à resserrer,,,,,,,Chambre à lessive et à resserrer
Guérite,,,,,,,Guérite
Voie ferrée,,,,,,,Voie ferrée
"Jardin, place",,,,,,"Jardin, place",
Borsquet,,Borsquet,,,,,
"Terrasse, Jardin",,,,,,"Terrasse, Jardin",
Place (rocher),,,,,,,Place (rocher)
"Bureau, magasin",,,,,,,"Bureau, magasin"
"Chambre à lessive, galerie",,,,,,,"Chambre à lessive, galerie"
"Logement, remise",,,,,,,"Logement, remise"
"Logement, atelier",,,,,,,"Logement, atelier"
"Magasin, chambre à lessive, bûcher",,,,,,,"Magasin, chambre à lessive, bûcher"
Véranda,,,,,,,Véranda
Champ ,,,,Champ ,,,
Place de 0a.18c sur laquelle est une fontaine appartenant aux propriétaires des art. ,,,,,,,Place de 0a.18c sur laquelle est une fontaine appartenant aux propriétaires des art. 
"Chambre à lessive, atelier",,,,,,,"Chambre à lessive, atelier"
"Chambre à lessive, réduit",,,,,,,"Chambre à lessive, réduit"
"Etable à porcs, fenil",,,,,,,"Etable à porcs, fenil"
"Atelier, écurie, fenil",,,,,,,"Atelier, écurie, fenil"
"Remise, couvert",,,,,,,"Remise, couvert"
Ecurie des porcs,,,,,,,Ecurie des porcs
"Place, réservoir",,,,,,,"Place, réservoir"
Pré (place d'armes),,,Pré (place d'armes),,,,
Place (place d'armes),,,,,,,Place (place d'armes)
CHamp,,,,CHamp,,,
Fenil,,,,,,,Fenil
Champ (pépinière),,,,Champ (pépinière),,,
"1/2 indéterminée d'une place indivise de 5a.40c en totalité, l'autre part est portée sous art. 3490",,,,,,,"1/2 indéterminée d'une place indivise de 5a.40c en totalité, l'autre part est portée sous art. 3490"
"1/2 indéterminée d'une place indivise de 2a.10 en totalité, l'autre part est portée sous article 1492",,,,,,,"1/2 indéterminée d'une place indivise de 2a.10 en totalité, l'autre part est portée sous article 1492"
"1/3 indéterminé d'une place indivise de 0a.51 en totalité, les autres parts sont portées sous articles 181, 1304",,,,,,,"1/3 indéterminé d'une place indivise de 0a.51 en totalité, les autres parts sont portées sous articles 181, 1304"
Champ (houblonnière),,,,Champ (houblonnière),,,
Champ (carrière),,,,,,,Champ (carrière)
"Cave, galetas",,,,,,,"Cave, galetas"
Réservoir (soit pré),,,Réservoir (soit pré),,,,
"Logement, grange, écurie",,,,,,,"Logement, grange, écurie"
"Logement, écurie, fenil",,,,,,,"Logement, écurie, fenil"
"Logement, chambre à lessive",,,,,,,"Logement, chambre à lessive"
"Bois, bosquet",,,,,,,"Bois, bosquet"
Place servant de chemin,,,,,,,Place servant de chemin
"Voie ferrée, place",,,,,,,"Voie ferrée, place"
