ID,SHAPE_LEN,QUALITE_TX,QUALITE,SHAPE_AREA,GENRE_TXT,GENRE,source,macro_ev,area_m2
97846959.0,30.1849085847518,MO93,0.0,7.480755,jardin,12.0,jardin.shp,jardin,7.480755001808404
3827268.0,277.983584680565,MO93,0.0,1056.971565,jardin,12.0,jardin.shp,jardin,1056.9715650036367
3848748.0,174.215505275829,MO93,0.0,510.0168655,jardin,12.0,jardin.shp,jardin,510.0168654975919
3826968.0,164.066642562631,MO93,0.0,412.841965,jardin,12.0,jardin.shp,jardin,412.84196499772173
3843705.0,32.9590930693047,MO93,0.0,71.0452005,jardin,12.0,jardin.shp,jardin,71.0452005016498
3843543.0,34.2613605061835,MO93,0.0,77.8574065,jardin,12.0,jardin.shp,jardin,77.85740649845248
3827269.0,34.2161544176618,MO93,0.0,77.531101,jardin,12.0,jardin.shp,jardin,77.53110100001612
3826985.0,36.8815559236157,MO93,0.0,84.0006475,jardin,12.0,jardin.shp,jardin,84.00064750056302
44584547.0,194.566951880296,MO93,0.0,1327.9098765,jardin,12.0,jardin.shp,jardin,1327.9098765012607
44584543.0,164.643483207427,MO93,0.0,967.0154865,jardin,12.0,jardin.shp,jardin,967.0154865001999
44584548.0,474.29563408209,MO93,0.0,2877.771749,jardin,12.0,jardin.shp,jardin,2877.77174900112
44583941.0,433.855103013974,MO93,0.0,4486.3748945,jardin,12.0,jardin.shp,jardin,4486.374894501244
44583983.0,59.3707656896556,MO93,0.0,161.8434355,jardin,12.0,jardin.shp,jardin,161.84343549786416
44583939.0,39.4932413986062,MO93,0.0,87.71871,jardin,12.0,jardin.shp,jardin,87.71870999872843
44584542.0,73.5415494778046,MO93,0.0,189.5428445,jardin,12.0,jardin.shp,jardin,189.5428444966732
44584545.0,104.574613608761,MO93,0.0,270.069305,jardin,12.0,jardin.shp,jardin,270.0693050006139
3843711.0,84.0502464447103,MO93,0.0,115.204131,jardin,12.0,jardin.shp,jardin,115.2041310001334
44584541.0,118.871585030917,MO93,0.0,386.7542445,jardin,12.0,jardin.shp,jardin,386.754244503646
85187964.0,202.536721479834,MO93,0.0,1348.9060735,jardin,12.0,jardin.shp,jardin,1348.906073495652
85187966.0,32.494228274825,MO93,0.0,9.962214,jardin,12.0,jardin.shp,jardin,9.96221399662647
85187974.0,53.4255126881068,MO93,0.0,58.57212,jardin,12.0,jardin.shp,jardin,58.57212000101606
85187968.0,29.1342843646378,MO93,0.0,15.456365,jardin,12.0,jardin.shp,jardin,15.456364999740257
85187972.0,52.5573382027019,MO93,0.0,129.610841,jardin,12.0,jardin.shp,jardin,129.61084099829722
85187970.0,19.5051253803995,MO93,0.0,16.836989,jardin,12.0,jardin.shp,jardin,16.836988999933535
85188030.0,26.234897304768,MO93,0.0,8.519895,jardin,12.0,jardin.shp,jardin,8.519895001126354
61236427.0,5.17861342218109,MO93,0.0,1.66828,jardin,12.0,jardin.shp,jardin,1.668279999863035
89252086.0,17.7616765763725,MO93,0.0,18.7913685,jardin,12.0,jardin.shp,jardin,18.791368499186106
89252084.0,23.0714194099873,MO93,0.0,33.1316925,jardin,12.0,jardin.shp,jardin,33.13169250057941
3847612.0,124.788268716995,MO93,0.0,393.311917,jardin,12.0,jardin.shp,jardin,393.31191699839894
3827230.0,58.9678137794607,MO93,0.0,139.320995,jardin,12.0,jardin.shp,jardin,139.32099499586747
44583903.0,54.0058278120354,MO93,0.0,105.94367,jardin,12.0,jardin.shp,jardin,105.94366999757597
3827089.0,288.057246268061,MO93,0.0,3926.0963265,jardin,12.0,jardin.shp,jardin,3926.096326482847
126432244.0,62.7953716711217,MO93,0.0,236.353044,jardin,12.0,jardin.shp,jardin,236.35304400045214
126432246.0,138.98105278964,MO93,0.0,373.3030965,jardin,12.0,jardin.shp,jardin,373.30309650374284
44585195.0,62.2440768227735,MO93,0.0,214.983223,jardin,12.0,jardin.shp,jardin,214.98322300063353
92841731.0,31.9560615180644,MO93,0.0,58.156821,jardin,12.0,jardin.shp,jardin,58.15682100098265
3827090.0,218.00867741088,MO93,0.0,873.634448,jardin,12.0,jardin.shp,jardin,873.6344479990842
3827096.0,339.691928785713,MO93,0.0,1961.9613725,jardin,12.0,jardin.shp,jardin,1961.9613725044467
3826972.0,537.605061447155,MO93,0.0,3284.6019855,jardin,12.0,jardin.shp,jardin,3284.601985498265
3843939.0,33.7384774609446,MO93,0.0,60.7300235,jardin,12.0,jardin.shp,jardin,60.73002349941128
3827097.0,122.407949218255,MO93,0.0,347.0862805,jardin,12.0,jardin.shp,jardin,347.08628050276803
3843938.0,105.495987586827,MO93,0.0,224.684885,jardin,12.0,jardin.shp,jardin,224.68488499636914
3845577.0,172.656834089726,MO93,0.0,685.4339445,jardin,12.0,jardin.shp,jardin,685.4339445060227
3849177.0,141.5185894405,MO93,0.0,551.43609,jardin,12.0,jardin.shp,jardin,551.4360900025089
95961943.0,59.803436935718,MO93,0.0,61.8179495,jardin,12.0,jardin.shp,jardin,61.817949496048364
3827284.0,35.8957247015444,MO93,0.0,77.4589865,jardin,12.0,jardin.shp,jardin,77.45898649992081
3827238.0,19.0949679704817,MO93,0.0,23.46945,jardin,12.0,jardin.shp,jardin,23.469449999164276
144916391.0,64.3325551754907,MO93,0.0,92.7111665,jardin,12.0,jardin.shp,jardin,92.71116649944932
3827185.0,177.844458984044,MO93,0.0,683.764188,jardin,12.0,jardin.shp,jardin,683.764188002571
89252082.0,23.0793141728265,MO93,0.0,33.14899,jardin,12.0,jardin.shp,jardin,33.14898999988077
3827184.0,36.745759204374,MO93,0.0,72.5412825,jardin,12.0,jardin.shp,jardin,72.54128249880137
89251836.0,121.315436922281,MO93,0.0,272.6157915,jardin,12.0,jardin.shp,jardin,272.6157914974299
89252080.0,17.7320560613534,MO93,0.0,18.737951,jardin,12.0,jardin.shp,jardin,18.73795100077172
3826973.0,96.3274435151441,MO93,0.0,298.668283,jardin,12.0,jardin.shp,jardin,298.66828299826483
3843484.0,88.8216333166335,MO93,0.0,238.1540145,jardin,12.0,jardin.shp,jardin,238.15401449800942
3843841.0,25.1204277228009,MO93,0.0,28.79035,jardin,12.0,jardin.shp,jardin,28.79035000010915
3843456.0,132.64162688516,MO93,0.0,525.430573,jardin,12.0,jardin.shp,jardin,525.4305730042561
61236411.0,264.12926138093,MO93,0.0,723.2995075,jardin,12.0,jardin.shp,jardin,723.299507498359
3846996.0,1109.87435172445,MO93,0.0,6192.565979,jardin,12.0,jardin.shp,jardin,6192.5659789965275
3846982.0,52.7198430181353,MO93,0.0,51.289066,jardin,12.0,jardin.shp,jardin,51.28906600277635
3846986.0,155.351746421577,MO93,0.0,283.713006,jardin,12.0,jardin.shp,jardin,283.7130059964596
3846981.0,36.5256656410766,MO93,0.0,33.818019,jardin,12.0,jardin.shp,jardin,33.81801899931193
3846992.0,20.4723249228645,MO93,0.0,16.8255285,jardin,12.0,jardin.shp,jardin,16.82552850042913
3847038.0,57.0079411181457,MO93,0.0,54.9004075,jardin,12.0,jardin.shp,jardin,54.90040749602369
3843563.0,34.9013247169472,MO93,0.0,59.112543,jardin,12.0,jardin.shp,jardin,59.11254299903669
3846995.0,113.316832744297,MO93,0.0,195.75871,jardin,12.0,jardin.shp,jardin,195.75871000391658
3846988.0,219.847248106514,MO93,0.0,280.3860895,jardin,12.0,jardin.shp,jardin,280.3860894915032
3849719.0,55.8295401896951,MO93,0.0,54.7569985,jardin,12.0,jardin.shp,jardin,54.75699849690885
3846987.0,23.5237474650386,MO93,0.0,32.804418,jardin,12.0,jardin.shp,jardin,32.8044179987298
61236413.0,389.71311597287,MO93,0.0,2491.0666275,jardin,12.0,jardin.shp,jardin,2491.066627501231
3827178.0,172.286517217608,MO93,0.0,586.8594005,jardin,12.0,jardin.shp,jardin,586.8594005031727
3826983.0,58.5715802473929,MO93,0.0,124.147665,jardin,12.0,jardin.shp,jardin,124.14766499871519
3846991.0,117.28904650186,MO93,0.0,293.329018,jardin,12.0,jardin.shp,jardin,293.3290179994287
3843925.0,68.3280564179809,MO93,0.0,214.96775,jardin,12.0,jardin.shp,jardin,214.9677499987448
3843491.0,20.0379240443377,MO93,0.0,24.0676,jardin,12.0,jardin.shp,jardin,24.067600000442567
3843492.0,49.5318535021847,MO93,0.0,74.628155,jardin,12.0,jardin.shp,jardin,74.62815500174511
3846755.0,118.122169712567,MO93,0.0,307.909768,jardin,12.0,jardin.shp,jardin,307.9097680030497
146915192.0,105.455909789712,MO93,0.0,295.8433845,jardin,12.0,jardin.shp,jardin,295.8433845006093
3846985.0,157.967227969965,MO93,0.0,451.5030055,jardin,12.0,jardin.shp,jardin,451.503005492797
3846983.0,84.2210046896618,MO93,0.0,175.2072235,jardin,12.0,jardin.shp,jardin,175.20722350015407
3847705.0,76.8919130373963,MO93,0.0,141.80991,jardin,12.0,jardin.shp,jardin,141.8099099995037
3843562.0,11.9528729777804,MO93,0.0,6.4245,jardin,12.0,jardin.shp,jardin,6.424500000242377
3846023.0,146.624117497391,MO93,0.0,341.248485,jardin,12.0,jardin.shp,jardin,341.2484850026607
3843495.0,94.2555343293649,MO93,0.0,330.90397,jardin,12.0,jardin.shp,jardin,330.9039699999191
3845803.0,42.5756864038529,MO93,0.0,58.713269,jardin,12.0,jardin.shp,jardin,58.71326899980366
3846022.0,444.540994326198,MO93,0.0,3569.675085,jardin,12.0,jardin.shp,jardin,3569.6750850171243
3846021.0,48.1244097150501,MO93,0.0,69.374336,jardin,12.0,jardin.shp,jardin,69.37433600025585
3845801.0,159.003833477305,MO93,0.0,577.491531,jardin,12.0,jardin.shp,jardin,577.4915310009686
3826975.0,29.4446716627918,MO93,0.0,36.83674,jardin,12.0,jardin.shp,jardin,36.83674000008065
3849674.0,18.9643598188844,MO93,0.0,12.68804,jardin,12.0,jardin.shp,jardin,12.68803999992976
3843649.0,28.0640445412195,MO93,0.0,40.5911465,jardin,12.0,jardin.shp,jardin,40.59114650027271
3843647.0,12.1326491919306,MO93,0.0,9.009624,jardin,12.0,jardin.shp,jardin,9.009623999525978
61236400.0,26.9851011827606,MO93,0.0,31.227036,jardin,12.0,jardin.shp,jardin,31.227035999707258
3843493.0,79.600411192261,MO93,0.0,116.511459,jardin,12.0,jardin.shp,jardin,116.51145900184967
61236401.0,8.7942734766842,MO93,0.0,2.9046,jardin,12.0,jardin.shp,jardin,2.904599999662815
61236396.0,149.983244914132,MO93,0.0,152.716803,jardin,12.0,jardin.shp,jardin,152.71680299811453
3839049.0,84.6174833250914,MO93,0.0,171.490086,jardin,12.0,jardin.shp,jardin,171.4900860023268
61236399.0,61.5809341272291,MO93,0.0,68.244399,jardin,12.0,jardin.shp,jardin,68.24439900258007
3827128.0,151.393690999128,MO93,0.0,844.735565,jardin,12.0,jardin.shp,jardin,844.7355650016915
3843494.0,92.7790805827571,MO93,0.0,232.2973155,jardin,12.0,jardin.shp,jardin,232.29731550328836
61236397.0,36.5521271808515,MO93,0.0,71.120403,jardin,12.0,jardin.shp,jardin,71.12040300086193
3839051.0,84.7475979320164,MO93,0.0,184.7259545,jardin,12.0,jardin.shp,jardin,184.72595450095403
3826982.0,78.6731017927085,MO93,0.0,298.14799,jardin,12.0,jardin.shp,jardin,298.1479900007218
137079209.0,279.904041613518,MO93,0.0,1016.754996,jardin,12.0,jardin.shp,jardin,1016.7549960000426
3827290.0,170.805601296018,MO93,0.0,1288.640731,jardin,12.0,jardin.shp,jardin,1288.6407310019235
3827329.0,148.832141681361,MO93,0.0,537.8785715,jardin,12.0,jardin.shp,jardin,537.8785715005887
3827277.0,63.4176298038435,MO93,0.0,155.5604355,jardin,12.0,jardin.shp,jardin,155.56043550272818
3843857.0,32.0917691918079,MO93,0.0,58.58195,jardin,12.0,jardin.shp,jardin,58.58195000099782
3843708.0,20.06585391248,MO93,0.0,21.0022405,jardin,12.0,jardin.shp,jardin,21.002240499769762
3843706.0,73.253969621784,MO93,0.0,242.7535575,jardin,12.0,jardin.shp,jardin,242.7535574968755
3843709.0,53.4417533097032,MO93,0.0,99.539543,jardin,12.0,jardin.shp,jardin,99.53954300044079
3843707.0,136.666347690509,MO93,0.0,266.2745465,jardin,12.0,jardin.shp,jardin,266.27454650107666
3843710.0,75.5354224203786,MO93,0.0,105.362552,jardin,12.0,jardin.shp,jardin,105.36255199799629
3849143.0,222.13027173452,MO93,0.0,673.3610695,jardin,12.0,jardin.shp,jardin,673.3610694944957
3843660.0,55.2747063476971,MO93,0.0,144.15054,jardin,12.0,jardin.shp,jardin,144.1505400009598
3843665.0,34.8667803921039,MO93,0.0,74.223365,jardin,12.0,jardin.shp,jardin,74.22336499925574
137079241.0,293.045964445894,MO93,0.0,2287.9762915,jardin,12.0,jardin.shp,jardin,2287.976291496404
3847700.0,221.098855847536,MO93,0.0,334.0323795,jardin,12.0,jardin.shp,jardin,334.0323795090319
44585228.0,92.9961082783429,MO93,0.0,221.935073,jardin,12.0,jardin.shp,jardin,169.0400715668222
44585227.0,84.3133315902047,MO93,0.0,188.9405455,jardin,12.0,jardin.shp,jardin,188.94054549774663
44583964.0,26.6578442804965,MO93,0.0,45.156745,jardin,12.0,jardin.shp,jardin,33.79330373659469
44583963.0,67.6303189391196,MO93,0.0,121.4298555,jardin,12.0,jardin.shp,jardin,121.429855499969
44585226.0,138.215388166666,MO93,0.0,348.2463,jardin,12.0,jardin.shp,jardin,348.2462999998687
44583911.0,79.5784910830963,MO93,0.0,146.8869545,jardin,12.0,jardin.shp,jardin,146.88695449594002
144624663.0,93.0878704629114,MO93,0.0,522.6894645,foret,18.0,MOVD_CAD_TPR_CSBOIS_S.shp,foret,522.6894645028882
144624664.0,57.5650686352164,MO93,0.0,201.807026,foret,18.0,MOVD_CAD_TPR_CSBOIS_S.shp,foret,201.80702600170576
44583962.0,127.563693566325,MO93,0.0,245.365017,jardin,12.0,jardin.shp,jardin,245.36501699762812
44585225.0,124.074126672206,MO93,0.0,314.4074315,jardin,12.0,jardin.shp,jardin,314.4074314981389
44585224.0,23.4761571770116,MO93,0.0,43.849741,jardin,12.0,jardin.shp,jardin,43.8497410001568
44585223.0,129.165812340504,MO93,0.0,341.775525,jardin,12.0,jardin.shp,jardin,341.7755250116568
44583960.0,129.34219684366,MO93,0.0,247.29728,jardin,12.0,jardin.shp,jardin,247.29727999832903
44583910.0,131.548989592518,MO93,0.0,342.6055605,jardin,12.0,jardin.shp,jardin,342.60556049081913
44583965.0,100.550811496969,MO93,0.0,381.9373915,jardin,12.0,jardin.shp,jardin,381.9373914993951
44583959.0,48.588004431305,MO93,0.0,82.608787,jardin,12.0,jardin.shp,jardin,82.60878699751001
44585236.0,256.11568231239,MO93,0.0,2064.2030115,jardin,12.0,jardin.shp,jardin,2064.2030114991644
44583865.0,37.394766894045,MO93,0.0,74.899066,jardin,12.0,jardin.shp,jardin,74.89906600106634
44583863.0,32.8218411472715,MO93,0.0,49.619729,jardin,12.0,jardin.shp,jardin,49.61972899917366
44583858.0,30.0597036840983,MO93,0.0,7.098669,jardin,12.0,jardin.shp,jardin,7.098668999614421
44583862.0,452.581437168011,MO93,0.0,5552.890761,jardin,12.0,jardin.shp,jardin,5552.890761005465
144624662.0,14.5959166842645,MO93,0.0,16.9484075,jardin,12.0,jardin.shp,jardin,16.94840750007165
44583961.0,133.33731446002,MO93,0.0,255.777642,jardin,12.0,jardin.shp,jardin,255.77764200603792
44583857.0,178.382216319995,MO93,0.0,1854.567428,jardin,12.0,jardin.shp,jardin,1854.56742799653
144624661.0,53.0892209732084,MO93,0.0,82.730062,jardin,12.0,jardin.shp,jardin,82.73006200083383
144624660.0,105.503892355133,MO93,0.0,564.193205,foret,18.0,MOVD_CAD_TPR_CSBOIS_S.shp,foret,564.193205001521
44583854.0,752.414667576671,MO93,0.0,5004.9920505,foret,18.0,MOVD_CAD_TPR_CSBOIS_S.shp,foret,3791.8600674408767
44583968.0,106.668675440407,MO93,0.0,621.108382,jardin,12.0,jardin.shp,jardin,621.1083819999913
144624659.0,215.723568410855,MO93,0.0,1623.431562,foret,18.0,MOVD_CAD_TPR_CSBOIS_S.shp,foret,1623.4315619914364
44587005.0,538.226861261346,MO93,0.0,12427.946973,jardin,12.0,jardin.shp,jardin,12427.946972998034
44583852.0,83.8275042144807,MO93,0.0,177.910253,jardin,12.0,jardin.shp,jardin,177.91025299954993
44583851.0,233.046563984014,MO93,0.0,226.217214,jardin,12.0,jardin.shp,jardin,226.21721399971736
144624658.0,43.3009353729515,MO93,0.0,95.911075,foret,18.0,MOVD_CAD_TPR_CSBOIS_S.shp,foret,95.91107499876671
44583855.0,231.909270334798,MO93,0.0,2384.941206,foret,18.0,MOVD_CAD_TPR_CSBOIS_S.shp,foret,2384.9412059878896
44583879.0,120.649562906235,MO93,0.0,796.057715,foret,18.0,MOVD_CAD_TPR_CSBOIS_S.shp,foret,796.057715001879
44583908.0,50.6358080633403,MO93,0.0,28.319525,jardin,12.0,jardin.shp,jardin,28.31952500145093
137210660.0,55.9267603933672,MO93,0.0,103.7269985,jardin,12.0,jardin.shp,jardin,103.72699849739416
44583909.0,42.6761261899053,MO93,0.0,40.7421875,jardin,12.0,jardin.shp,jardin,40.7421874990775
133557290.0,69.1940593365272,MO93,0.0,93.0950525,jardin,12.0,jardin.shp,jardin,93.09505249789729
44585088.0,1096.99016262063,MO93,0.0,6529.737598,jardin,12.0,jardin.shp,jardin,6529.737598025674
44585250.0,385.44201895758,MO93,0.0,2912.87781,foret,18.0,MOVD_CAD_TPR_CSBOIS_S.shp,foret,2912.8778099921847
3823066.0,222.174365526128,MO93,0.0,1286.410875,foret,18.0,MOVD_CAD_TPR_CSBOIS_S.shp,foret,1286.4108750010935
3850149.0,306.041738053908,MO93,0.0,863.4285835,jardin,12.0,jardin.shp,jardin,863.4285835014412
3822828.0,58.5015917889707,MO93,0.0,84.997103,jardin,12.0,jardin.shp,jardin,84.99710300047184
44583925.0,134.832341253476,MO93,0.0,416.22334,jardin,12.0,jardin.shp,jardin,416.2233400034525
137210656.0,1139.21424769913,MO93,0.0,11718.508269,jardin,12.0,jardin.shp,jardin,11718.50826899794
44583870.0,475.327023501974,MO93,0.0,7692.3210875,jardin,12.0,jardin.shp,jardin,7692.32108748161
44584473.0,378.297129541824,MO93,0.0,2955.1659175,jardin,12.0,jardin.shp,jardin,2955.165917520433
44583871.0,1460.65412729043,MO93,0.0,14431.823108,jardin,12.0,jardin.shp,jardin,14431.823107966584
44584474.0,252.399572605405,MO93,0.0,1554.111156,jardin,12.0,jardin.shp,jardin,1554.1111559988046
44583872.0,290.266149972377,MO93,0.0,1396.9619355,jardin,12.0,jardin.shp,jardin,1396.9619355039724
